,lambda=0.0000
2016-06-02,2.5385581674182034
2016-06-03,2.5464508505068504
2016-06-06,2.5511039919391285
2016-06-07,2.5467034393305212
2016-06-08,2.5390398711585385
2016-06-13,2.4438420971685697
2016-06-14,2.4445459839431125
2016-06-15,2.5142826604993336
2016-06-16,2.516193582549352
2016-06-17,2.539005405548763
2016-06-20,2.55035705034293
2016-06-21,2.538290903539301
2016-06-22,2.569931839774197
2016-06-23,2.5521914900088505
2016-06-24,2.5352339195084435
2016-06-27,2.578994426222655
2016-06-28,2.5996391006466406
2016-06-29,2.6011563749644524
2016-06-30,2.6005947866954537
2016-07-01,2.5932196883617866
2016-07-04,2.6353648202381743
2016-07-05,2.648842403953215
2016-07-06,2.654870272382943
2016-07-07,2.660297806678039
2016-07-08,2.6503298960023605
2016-07-11,2.6467340374294976
2016-07-12,2.686262316202023
2016-07-13,2.710942667746722
2016-07-14,2.711409075893508
2016-07-15,2.698637134725337
2016-07-18,2.691778775686405
2016-07-19,2.6942055309467823
2016-07-20,2.693328620307093
2016-07-21,2.7073744083761584
2016-07-22,2.6835415054045857
2016-07-25,2.6940738405930165
2016-07-26,2.733761950431668
2016-07-27,2.643606193153549
2016-07-28,2.6582237226525227
2016-07-29,2.643844224483993
2016-08-01,2.6101672135706293
2016-08-02,2.6409839528611747
2016-08-03,2.6746024713254166
2016-08-04,2.6897374739274804
2016-08-05,2.690406955912139
2016-08-08,2.7369962647582535
2016-08-09,2.75265401355851
2016-08-10,2.7378350362667847
2016-08-11,2.6943985069067073
2016-08-12,2.736662180698905
2016-08-15,2.803523191880016
2016-08-16,2.8189814613723856
2016-08-17,2.8319747874503
2016-08-18,2.8393363453093423
2016-08-19,2.841925220723428
2016-08-22,2.8175336269373474
2016-08-23,2.8202142203337166
2016-08-24,2.810364201186871
2016-08-25,2.7915920556672043
2016-08-26,2.803886130643945
2016-08-29,2.8173701376986697
2016-08-30,2.8118862914453517
2016-08-31,2.825834376604806
2016-09-01,2.7985511328321775
2016-09-02,2.7932268562030456
2016-09-05,2.8051276973776664
2016-09-06,2.8434535554890807
2016-09-07,2.84482060159622
2016-09-08,2.8609072835641705
2016-09-09,2.8423277011076404
2016-09-12,2.771261543277575
2016-09-13,2.7940328933914786
2016-09-14,2.772778394346025
2016-09-19,2.8039691892739875
2016-09-20,2.805577592296059
2016-09-21,2.808899323024352
2016-09-22,2.8281728097538887
2016-09-23,2.8125849793148543
2016-09-26,2.758422926127107
2016-09-27,2.7827583182536606
2016-09-28,2.780281812839529
2016-09-29,2.7858764778984964
2016-09-30,2.8008751833837433
2016-10-10,2.8293518524098515
2016-10-11,2.8399505019359834
2016-10-12,2.8450122009190575
2016-10-13,2.8517597372620602
2016-10-14,2.8605520490931324
2016-10-17,2.8338094251028947
2016-10-18,2.8772787648535574
2016-10-19,2.874192317408988
2016-10-20,2.8789600248332863
2016-10-21,2.866397544857713
2016-10-24,2.898097705865553
2016-10-25,2.9124130045733496
2016-10-26,2.8985646934968883
2016-10-27,2.8968852599741934
2016-10-28,2.8823669266916703
2016-10-31,2.8899581358795583
2016-11-01,2.9136412319154403
2016-11-02,2.8931649330519216
2016-11-03,2.9069515967356088
2016-11-04,2.897226039324834
2016-11-07,2.8995792974885797
2016-11-08,2.915139447853512
2016-11-09,2.9020089671223532
2016-11-10,2.9384210658140146
2016-11-11,2.951602663734821
2016-11-14,2.9581783037413465
2016-11-15,2.962510223457736
2016-11-16,2.960750754280042
2016-11-17,2.9680265907339023
2016-11-18,2.9480861080818292
2016-11-21,2.951191327388857
2016-11-22,2.978074232873685
2016-11-23,2.9625615850273417
2016-11-24,2.9679410140951785
2016-11-25,2.9809867256984837
2016-11-28,2.9923797870053246
2016-11-29,2.9715464696155585
2016-11-30,2.9493018376909235
2016-12-01,2.9598385785528274
2016-12-02,2.9123299948417665
2016-12-05,2.885093813283065
2016-12-06,2.890778662596044
2016-12-07,2.922586621078848
2016-12-08,2.9122354157340102
2016-12-09,2.9186265746976496
2016-12-12,2.792442909473457
2016-12-13,2.8052755790454524
2016-12-14,2.786932581238888
2016-12-15,2.8071733171837767
2016-12-16,2.8259801971613405
2016-12-19,2.828112913826325
2016-12-20,2.820162339597135
2016-12-21,2.8402537989648944
2016-12-22,2.843152520792966
2016-12-23,2.8178265532329445
2016-12-26,2.822583919914979
2016-12-27,2.8237265112088883
2016-12-28,2.8103110025112166
2016-12-29,2.8068699615147272
2016-12-30,2.8087607104267764
2017-01-03,2.8343145670886014
2017-01-04,2.861176973335411
2017-01-05,2.867565443614183
2017-01-06,2.862557281257878
2017-01-09,2.8837086718565903
2017-01-10,2.8728776554563122
2017-01-11,2.8417882833372614
2017-01-12,2.8231692905708714
2017-01-13,2.7992579392205847
2017-01-16,2.738707704809794
2017-01-17,2.759634153929163
2017-01-18,2.757387897086001
2017-01-19,2.7514906038185445
2017-01-20,2.784223298343752
2017-01-23,2.8011177057965373
2017-01-24,2.807685522543003
2017-01-25,2.8146629754790435
2017-01-26,2.8282301373001286
2017-02-03,2.8165443356234543
2017-02-06,2.8384923232914385
2017-02-07,2.8464099607331113
2017-02-08,2.8640292597059838
2017-02-09,2.8760295503664195
2017-02-10,2.8867352637822066
2017-02-13,2.9048233269710537
2017-02-14,2.90648950623725
2017-02-15,2.8825532135702265
2017-02-16,2.908185493826018
2017-02-17,2.8830919108991737
2017-02-20,2.9300967701342184
2017-02-21,2.9616796938049603
2017-02-22,2.9755058405496184
2017-02-23,2.9702788977320385
2017-02-24,2.964497360847555
2017-02-27,2.939523555870903
2017-02-28,2.9490233634109235
2017-03-01,2.951057086935231
2017-03-02,2.934901417195195
2017-03-03,2.938220512226216
2017-03-06,2.9736456010725485
2017-03-07,2.9720361155477235
2017-03-08,2.9594397767749783
2017-03-09,2.93284382031456
2017-03-10,2.9391209292923537
2017-03-13,2.963474801207612
2017-03-14,2.9588217639469794
2017-03-15,2.9589120388985566
2017-03-16,2.9837767072426065
2017-03-17,2.95671940843175
2017-03-20,2.9645393038731864
2017-03-21,2.9758981518861316
2017-03-22,2.962110915366546
2017-03-23,2.9641386279434596
2017-03-24,2.9860946963293555
2017-03-27,2.976317511433465
2017-03-28,2.9707831113201664
2017-03-29,2.9651677307465456
2017-03-30,2.919974100886971
2017-03-31,2.9334212086696665
2017-04-05,3.0001722242704876
2017-04-06,3.022185719496078
2017-04-07,3.0387698912242262
2017-04-10,3.0482202568579355
2017-04-11,3.0856590613451274
2017-04-12,3.060291550932898
2017-04-13,3.0899179598086883
2017-04-14,3.044207216675226
2017-04-17,3.0155931813256434
2017-04-18,2.9977455609004893
2017-04-19,2.9627617878308072
2017-04-20,2.95072158361159
2017-04-21,2.9383464933382153
2017-04-24,2.861881066796384
2017-04-25,2.8796061580074954
2017-04-26,2.9100472385796277
2017-04-27,2.9178155745373635
2017-04-28,2.9297556135848577
2017-05-02,2.923484246376246
2017-05-03,2.9073834478399716
2017-05-04,2.889699607450749
2017-05-05,2.850882537712216
2017-05-08,2.8003146839263025
2017-05-09,2.816155701837398
2017-05-10,2.7628069740224195
2017-05-11,2.7460543637870405
2017-05-12,2.7473078735235936
2017-05-15,2.748348409331747
2017-05-16,2.8014475866313986
2017-05-17,2.8070695143486213
2017-05-18,2.7911940629015786
2017-05-19,2.7976573702151946
2017-05-22,2.753978407122229
2017-05-23,2.698404613478471
2017-05-24,2.708390259849556
2017-05-25,2.7414793499691106
2017-05-26,2.742466998789519
2017-05-31,2.746237402060508
2017-06-01,2.705328370594814
2017-06-02,2.743218350212896
2017-06-05,2.7619476519603134
2017-06-06,2.7731722065386704
2017-06-07,2.821797078750271
2017-06-08,2.824681172162971
2017-06-09,2.8302129338208806
