,O2
2017-03-27,3.0838579652625167
2017-03-28,3.0810821217267894
2017-03-29,3.076666958062673
2017-03-30,3.02602540798294
2017-03-31,3.0416960227851244
2017-04-05,3.106947395194744
2017-04-06,3.1279159602723885
2017-04-07,3.1402123986158883
2017-04-10,3.1490850029122215
2017-04-11,3.1859060847850698
2017-04-12,3.1645350551480966
2017-04-13,3.1977051002788803
2017-04-14,3.150060220945275
2017-04-17,3.124792157230652
2017-04-18,3.106213796221139
2017-04-19,3.0674840541462953
2017-04-20,3.053614851565425
2017-04-21,3.041841809852127
2017-04-24,2.961713261619138
2017-04-25,2.9796796432514663
2017-04-26,3.010631641186074
2017-04-27,3.0202172948096937
2017-04-28,3.0292464114208753
2017-05-02,3.0199119705626547
2017-05-03,3.0015737139942877
2017-05-04,2.9816258180457123
2017-05-05,2.943141020895062
2017-05-08,2.892993724876249
2017-05-09,2.9083713568941842
2017-05-10,2.856898147372545
2017-05-11,2.837159494932489
2017-05-12,2.836690152789944
2017-05-15,2.8381946742906723
2017-05-16,2.889314939620343
2017-05-17,2.8930613079868293
2017-05-18,2.8784199236948798
2017-05-19,2.883764903422146
2017-05-22,2.8385039788570596
2017-05-23,2.783332551160229
2017-05-24,2.7922429092917924
2017-05-25,2.8261999569152847
2017-05-26,2.8266007485520572
2017-05-31,2.8324140982664123
2017-06-01,2.796265884964399
2017-06-02,2.8356425631502504
2017-06-05,2.856441379210416
2017-06-06,2.8678808607460415
2017-06-07,2.917742134612642
2017-06-08,2.9226518402270516
2017-06-09,2.929338648523411
2017-06-12,2.896825259844679
2017-06-13,2.9271573547687093
2017-06-14,2.9148507808670217
2017-06-15,2.93051945307138
2017-06-16,2.9216746636621544
2017-06-19,2.943981114483347
2017-06-20,2.949939585140142
2017-06-21,2.9540944066977333
2017-06-22,2.9293103364863526
2017-06-23,2.934690982754015
2017-06-26,2.9799051797512326
2017-06-27,2.9854871052390215
2017-06-28,2.9710351531301664
2017-06-29,2.984103372792584
2017-06-30,2.991081166314647
2017-07-03,3.01033063607527
2017-07-04,2.9968821559737515
2017-07-05,3.0197492572309232
2017-07-06,3.0223410498952568
2017-07-07,3.035893569969953
2017-07-10,3.034482174179273
2017-07-11,3.006480669787578
2017-07-12,3.006376263362098
2017-07-13,3.016694730512345
2017-07-14,3.008995639339833
2017-07-17,2.89873115606577
2017-07-18,2.938474352282732
2017-07-19,2.9965454971657923
2017-07-20,3.01978024764258
2017-07-21,3.036097439884451
2017-07-24,3.064553667513239
2017-07-25,3.0482208484919955
2017-07-26,3.0476373259208374
2017-07-27,3.053131772322611
2017-07-28,3.053198654179734
2017-07-31,3.0833378655891375
2017-08-01,3.0729177430840156
2017-08-02,3.058248905883555
2017-08-03,3.0537239759842576
2017-08-04,3.036256625867048
2017-08-07,3.064278951665664
2017-08-08,3.0754209315121055
2017-08-09,3.0811618561274523
2017-08-10,3.0478511804779544
2017-08-11,2.990606406684534
2017-08-14,3.039480965650803
2017-08-15,3.049384688174186
2017-08-16,3.0627091778768776
2017-08-17,3.0933577440492526
2017-08-18,3.0903659207673986
2017-08-21,3.1185023932735927
2017-08-22,3.1111276664529597
2017-08-23,3.085379533301187
2017-08-24,3.074976637423621
2017-08-25,3.1185211413543055
2017-08-28,3.151613378882052
2017-08-29,3.136086250023599
2017-08-30,3.1600968987485962
2017-08-31,3.1592745671833704
2017-09-01,3.179478892790008
2017-09-04,3.1834561369223033
2017-09-05,3.188885806115572
2017-09-06,3.1954393464115736
2017-09-07,3.189654220536635
2017-09-08,3.1950568280056904
2017-09-11,3.2264961804136525
2017-09-12,3.20912738613845
2017-09-13,3.2204904534649392
2017-09-14,3.20606842256712
2017-09-15,3.1924448940764663
2017-09-18,3.209683655501753
2017-09-19,3.204047257697853
2017-09-20,3.231097369465675
2017-09-21,3.19229140354962
2017-09-22,3.1693396719601834
2017-09-25,3.120269734646015
2017-09-26,3.1295640187248916
2017-09-27,3.1545412676769007
2017-09-28,3.144169668423889
2017-09-29,3.1703041080681986
2017-10-09,3.20184353952
2017-10-10,3.2107320696052466
2017-10-11,3.2087135181923645
2017-10-12,3.19824467958038
2017-10-13,3.205535247977569
2017-10-16,3.1714761884167753
2017-10-17,3.165941050708191
2017-10-18,3.1443398304472505
2017-10-19,3.1141269720512783
2017-10-20,3.159751964872847
2017-10-23,3.1850637581208923
2017-10-24,3.1739468644261026
2017-10-25,3.1986329867515395
2017-10-26,3.214020734549601
2017-10-27,3.202094885209321
2017-10-30,3.1563975467290444
2017-10-31,3.18552015627819
2017-11-01,3.187474459058071
2017-11-02,3.1631893589728715
2017-11-03,3.1419749136549604
2017-11-06,3.165896851892604
2017-11-07,3.1934130111364287
2017-11-08,3.1984712449277484
2017-11-09,3.217855308786601
2017-11-10,3.227209419508899
2017-11-13,3.2196967206332197
2017-11-14,3.201162728812279
2017-11-15,3.1681054141173686
2017-11-16,3.1783144756037536
2017-11-17,3.099685776371756
2017-11-20,3.1201079079374026
2017-11-21,3.1209064815905845
2017-11-22,3.107767672299485
2017-11-23,3.041906880626954
2017-11-24,3.057921153047782
2017-11-27,3.01601818350268
2017-11-28,3.0617117270734395
2017-11-29,3.0762777990203234
2017-11-30,3.0450201726538397
2017-12-01,3.069790485976549
2017-12-04,3.0518784280071194
2017-12-05,2.996752052087636
2017-12-06,3.013928127629564
2017-12-07,2.99431221724078
2017-12-08,3.0326384032273617
2017-12-11,3.0669123580335262
2017-12-12,3.042382083839486
2017-12-13,3.0608781576635535
2017-12-14,3.054650477584261
2017-12-15,3.031970878852128
2017-12-18,3.0170384520357585
2017-12-19,3.040348918176589
2017-12-20,3.026477197472876
2017-12-21,3.039235962094058
2017-12-22,3.03229212247145
2017-12-25,3.0050334743460367
2017-12-26,3.0204811712503705
2017-12-27,3.008151185058489
2017-12-28,3.015826019355067
2017-12-29,3.0358219836360085
2018-01-02,3.066833708221886
2018-01-03,3.0878319125981064
2018-01-04,3.1081568869756455
2018-01-05,3.120106715084919
2018-01-08,3.1556528028352027
2018-01-09,3.150600812377787
2018-01-10,3.1194611985403267
2018-01-11,3.118924162219441
2018-01-12,3.1069740247169686
2018-01-15,3.0290016385637326
2018-01-16,3.0741268418717707
2018-01-17,3.0613349502159966
2018-01-18,3.070279830729692
2018-01-19,3.064348696666621
2018-01-22,3.0913275872318704
2018-01-23,3.099389972077354
2018-01-24,3.1160999694140976
2018-01-25,3.114179908598804
2018-01-26,3.1130849880430516
2018-01-29,3.075745365189772
2018-01-30,3.077708673697093
2018-01-31,3.0328131356955734
2018-02-01,2.92465136878539
2018-02-02,2.9191687023642228
2018-02-05,2.916086203779979
2018-02-06,2.782638773798944
2018-02-07,2.7756479855576752
2018-02-08,2.803318050808183
2018-02-09,2.7065355701215563
2018-02-12,2.764477069484495
2018-02-13,2.7789825458476827
2018-02-14,2.786506422325018
2018-02-22,2.8287344343373597
2018-02-23,2.836051227188054
2018-02-26,2.877684982558748
2018-02-27,2.857255860930007
2018-02-28,2.8659923932450058
2018-03-01,2.894251265654458
2018-03-02,2.880380548690149
2018-03-05,2.877757072527436
2018-03-06,2.9112218808398844
2018-03-07,2.895004645831712
2018-03-08,2.8998355979385138
2018-03-09,2.9341774796278157
2018-03-12,2.9638366810362884
2018-03-13,2.946805662321763
2018-03-14,2.9199134645841114
2018-03-15,2.9111822111678505
2018-03-16,2.906803386206894
2018-03-19,2.8994219564149684
2018-03-20,2.893513216392596
2018-03-21,2.8794154349262366
2018-03-22,2.8850525048387206
2018-03-23,2.7465548245571907
2018-03-26,2.7657458788411122
2018-03-27,2.8272889807998736
2018-03-28,2.7983807920996835
2018-03-29,2.82748781700964
2018-03-30,2.8464744496501284
2018-04-02,2.848648388748511
2018-04-03,2.8200979317586934
2018-04-04,2.803626681169914
2018-04-09,2.8029803425728885
2018-04-10,2.814263747286365
2018-04-11,2.832253875716119
2018-04-12,2.8080075828350566
2018-04-13,2.8165840574042065
2018-04-16,2.7920783803267173
2018-04-17,2.738886244013871
2018-04-18,2.76387774590458
2018-04-19,2.7747612114149396
2018-04-20,2.7195902589932968
2018-04-23,2.70400248972412
2018-04-24,2.7548826792984435
2018-04-25,2.7577226494705434
2018-04-26,2.7073596520380967
2018-04-27,2.714903699970319
2018-05-02,2.705942024316938
2018-05-03,2.731523255135009
2018-05-04,2.732457750418205
2018-05-07,2.7709545816802987
2018-05-08,2.7813230317284856
2018-05-09,2.7787680607737166
2018-05-10,2.785810695980163
