left,right,rebalance_date,period,n_obs,spearman_rank_corr
ic_ir,expanding_ridge,2022-07-29,valid,465,0.9217501833537081
ic_ir,expanding_ridge,2022-08-31,valid,465,0.8648139779795269
ic_ir,expanding_ridge,2022-09-30,valid,466,0.8230051351547494
ic_ir,expanding_ridge,2022-10-31,valid,464,0.8242365636509087
ic_ir,expanding_ridge,2022-11-30,valid,467,0.848389986115654
ic_ir,rolling_48m,2014-03-31,train,467,0.8760297938427046
ic_ir,rolling_48m,2014-04-30,train,465,0.8510701959993573
ic_ir,rolling_48m,2014-05-30,train,466,0.8597237773688533
ic_ir,rolling_48m,2014-06-30,train,470,0.8411508435704879
ic_ir,rolling_48m,2014-07-31,train,472,0.8546520020947705
ic_ir,rolling_48m,2014-08-29,train,469,0.89144716648221
ic_ir,rolling_48m,2014-09-30,train,465,0.9014638495359464
ic_ir,rolling_48m,2014-10-31,train,459,0.8913294286613551
ic_ir,rolling_48m,2014-11-28,train,454,0.8567138378440415
ic_ir,rolling_48m,2014-12-31,train,456,0.8641115075181642
ic_ir,rolling_48m,2015-01-30,train,460,0.8712804511858804
ic_ir,rolling_48m,2015-02-27,train,461,0.8780298252480658
ic_ir,rolling_48m,2015-03-31,train,443,0.9009047296716708
ic_ir,rolling_48m,2015-04-30,train,448,0.9193354639469766
ic_ir,rolling_48m,2015-05-29,train,428,0.9093578122070398
ic_ir,rolling_48m,2015-06-30,train,422,0.8624020631743213
ic_ir,rolling_48m,2015-07-31,train,417,0.8523541002011384
ic_ir,rolling_48m,2015-08-31,train,417,0.8629209797706966
ic_ir,rolling_48m,2015-09-30,train,427,0.8794775516092757
ic_ir,rolling_48m,2015-10-30,train,428,0.8999619807130284
ic_ir,rolling_48m,2015-11-30,train,448,0.8921762182948735
ic_ir,rolling_48m,2015-12-31,train,453,0.8657362286070719
ic_ir,rolling_48m,2016-01-29,train,461,0.857025989584673
ic_ir,rolling_48m,2016-02-29,train,450,0.843971200894591
ic_ir,rolling_48m,2016-03-31,train,458,0.8992044981530928
ic_ir,rolling_48m,2016-04-29,train,458,0.9229208276978175
ic_ir,rolling_48m,2016-05-31,train,461,0.9095530432277962
ic_ir,rolling_48m,2016-06-30,train,472,0.903659671964745
ic_ir,rolling_48m,2016-07-29,train,475,0.8972123503371241
ic_ir,rolling_48m,2016-08-31,train,477,0.8337357542311137
ic_ir,rolling_48m,2016-09-30,train,468,0.8537186650837189
ic_ir,rolling_48m,2016-10-31,train,474,0.8571102843505467
ic_ir,rolling_48m,2016-11-30,train,465,0.8622413089144709
ic_ir,rolling_48m,2016-12-30,train,465,0.8931589143991201
ic_ir,rolling_48m,2017-01-26,train,466,0.8677244915825298
ic_ir,rolling_48m,2017-02-28,train,466,0.838758942573514
ic_ir,rolling_48m,2017-03-31,train,463,0.8601676723279498
ic_ir,rolling_48m,2017-04-28,train,465,0.8668088890318655
ic_ir,rolling_48m,2017-05-31,train,469,0.8866537029929761
ic_ir,rolling_48m,2017-06-30,train,468,0.8562147685473388
ic_ir,rolling_48m,2017-07-31,train,466,0.7649489430104133
ic_ir,rolling_48m,2017-08-31,train,472,0.8065737341541483
ic_ir,rolling_48m,2017-09-29,train,472,0.7878857560467851
ic_ir,rolling_48m,2017-10-31,train,471,0.8047932662741366
ic_ir,rolling_48m,2017-11-30,train,462,0.8174531502584849
ic_ir,rolling_48m,2017-12-29,train,458,0.8231172442685395
ic_ir,rolling_48m,2018-01-31,train,452,0.8009387150806179
ic_ir,rolling_48m,2018-02-28,train,452,0.7973102108594172
ic_ir,rolling_48m,2018-03-30,train,456,0.8523330270423216
ic_ir,rolling_48m,2018-04-27,train,457,0.8513298996965237
ic_ir,rolling_48m,2018-05-31,train,455,0.840953360370615
ic_ir,rolling_48m,2018-06-29,train,453,0.8121997674205161
ic_ir,rolling_48m,2018-07-31,train,459,0.8188928402020497
ic_ir,rolling_48m,2018-08-31,train,467,0.820753855534398
ic_ir,rolling_48m,2018-09-28,train,470,0.8166303054624333
ic_ir,rolling_48m,2018-10-31,train,474,0.8266681472902924
ic_ir,rolling_48m,2018-11-30,train,485,0.8661528967282599
ic_ir,rolling_48m,2018-12-28,train,480,0.8438160352931817
ic_ir,rolling_48m,2019-01-31,train,482,0.8386419807924655
ic_ir,rolling_48m,2019-02-28,train,481,0.843104904708064
ic_ir,rolling_48m,2019-03-29,train,480,0.8710518466837484
ic_ir,rolling_48m,2019-04-30,train,477,0.8630283659464429
ic_ir,rolling_48m,2019-05-31,train,478,0.8498971787355454
ic_ir,rolling_48m,2019-06-28,train,476,0.869590895739206
ic_ir,rolling_48m,2019-07-31,train,478,0.8506919056705395
