source_id,rebalance_date,period,top50_retention,top50_turnover,rank_corr_vs_prev
rolling_48m,2015-07-31,train,0.46,0.54,0.6049232073641992
rolling_48m,2015-08-31,train,0.5,0.5,0.7141683581955077
rolling_48m,2015-09-30,train,0.64,0.36,0.8436293533364495
rolling_48m,2015-10-30,train,0.6,0.4,0.8734166472503365
rolling_48m,2015-11-30,train,0.74,0.26,0.8152323778159616
rolling_48m,2015-12-31,train,0.56,0.43999999999999995,0.7569406494758515
rolling_48m,2016-01-29,train,0.58,0.42000000000000004,0.789220425521612
rolling_48m,2016-02-29,train,0.7,0.30000000000000004,0.8793404984252294
rolling_48m,2016-03-31,train,0.58,0.42000000000000004,0.8022147717225374
rolling_48m,2016-04-29,train,0.44,0.56,0.6766533776492519
rolling_48m,2016-05-31,train,0.58,0.42000000000000004,0.7593091385372793
rolling_48m,2016-06-30,train,0.6,0.4,0.8384810032137552
rolling_48m,2016-07-29,train,0.56,0.43999999999999995,0.7623550320572297
rolling_48m,2016-08-31,train,0.46,0.54,0.5961612778527287
rolling_48m,2016-09-30,train,0.54,0.45999999999999996,0.6915386793978189
rolling_48m,2016-10-31,train,0.62,0.38,0.7873147944958463
rolling_48m,2016-11-30,train,0.44,0.56,0.6555376672606404
rolling_48m,2016-12-30,train,0.48,0.52,0.6845132053697115
rolling_48m,2017-01-26,train,0.68,0.31999999999999995,0.8365359239893729
rolling_48m,2017-02-28,train,0.64,0.36,0.8079089192931792
rolling_48m,2017-03-31,train,0.5,0.5,0.7188730107406547
rolling_48m,2017-04-28,train,0.32,0.6799999999999999,0.5825428042966236
rolling_48m,2017-05-31,train,0.52,0.48,0.779942692898127
rolling_48m,2017-06-30,train,0.54,0.45999999999999996,0.8421108982830183
rolling_48m,2017-07-31,train,0.46,0.54,0.728245702055772
rolling_48m,2017-08-31,train,0.56,0.43999999999999995,0.7517437525540459
rolling_48m,2017-09-29,train,0.54,0.45999999999999996,0.8269672687869775
rolling_48m,2017-10-31,train,0.56,0.43999999999999995,0.7832195394899744
rolling_48m,2017-11-30,train,0.62,0.38,0.8218806986735052
rolling_48m,2017-12-29,train,0.46,0.54,0.8454922565877397
rolling_48m,2018-01-31,train,0.66,0.33999999999999997,0.8097767046130402
rolling_48m,2018-02-28,train,0.66,0.33999999999999997,0.8788953823344531
rolling_48m,2018-03-30,train,0.64,0.36,0.7919851252055916
rolling_48m,2018-04-27,train,0.6,0.4,0.6998439138895378
rolling_48m,2018-05-31,train,0.42,0.5800000000000001,0.7557693881779802
rolling_48m,2018-06-29,train,0.66,0.33999999999999997,0.8516626359346094
rolling_48m,2018-07-31,train,0.68,0.31999999999999995,0.8415840638500295
rolling_48m,2018-08-31,train,0.62,0.38,0.7601056439669531
rolling_48m,2018-09-28,train,0.68,0.31999999999999995,0.8964603490716294
rolling_48m,2018-10-31,train,0.46,0.54,0.8139169389653657
rolling_48m,2018-11-30,train,0.6,0.4,0.8406962176635977
rolling_48m,2018-12-28,train,0.66,0.33999999999999997,0.8956216213979007
rolling_48m,2019-01-31,train,0.66,0.33999999999999997,0.8531336994363884
rolling_48m,2019-02-28,train,0.66,0.33999999999999997,0.8837841049506698
rolling_48m,2019-03-29,train,0.62,0.38,0.8102341329938298
rolling_48m,2019-04-30,train,0.4,0.6,0.6379242506160776
rolling_48m,2019-05-31,train,0.64,0.36,0.835219143679761
rolling_48m,2019-06-28,train,0.66,0.33999999999999997,0.8880340503498861
rolling_48m,2019-07-31,train,0.66,0.33999999999999997,0.8583114934829799
rolling_48m,2019-08-30,train,0.54,0.45999999999999996,0.7231991260949913
rolling_48m,2019-09-30,train,0.74,0.26,0.8835397802620509
rolling_48m,2019-10-31,train,0.58,0.42000000000000004,0.7958260473570841
rolling_48m,2019-11-29,train,0.68,0.31999999999999995,0.8844319746585326
rolling_48m,2019-12-31,train,0.68,0.31999999999999995,0.8700678125670093
rolling_48m,2020-01-23,train,0.7,0.30000000000000004,0.9080368091385926
rolling_48m,2020-02-28,train,0.74,0.26,0.846686732115174
rolling_48m,2020-03-31,train,0.68,0.31999999999999995,0.8157881600676941
rolling_48m,2020-04-30,train,0.38,0.62,0.49155885041078806
rolling_48m,2020-05-29,train,0.72,0.28,0.9282707195170391
rolling_48m,2020-06-30,train,0.62,0.38,0.87677407672122
rolling_48m,2020-07-31,train,0.64,0.36,0.904495778584423
rolling_48m,2020-08-31,train,0.4,0.6,0.618883495436931
rolling_48m,2020-09-30,train,0.76,0.24,0.9232152146046476
rolling_48m,2020-10-30,train,0.5,0.5,0.7517215185099722
rolling_48m,2020-11-30,train,0.64,0.36,0.8438398079608505
rolling_48m,2020-12-31,train,0.66,0.33999999999999997,0.8982784477830527
rolling_48m,2021-01-29,valid,0.64,0.36,0.8919025341996257
rolling_48m,2021-02-26,valid,0.7,0.30000000000000004,0.9224956531871974
rolling_48m,2021-03-31,valid,0.54,0.45999999999999996,0.8007332642140172
rolling_48m,2021-04-30,valid,0.44,0.56,0.36783380208034494
rolling_48m,2021-05-31,valid,0.76,0.24,0.8904191670394511
rolling_48m,2021-06-30,valid,0.68,0.31999999999999995,0.8744410155264173
rolling_48m,2021-07-30,valid,0.7,0.30000000000000004,0.8539358559608411
rolling_48m,2021-08-31,valid,0.5,0.5,0.5637873498203236
rolling_48m,2021-09-30,valid,0.78,0.21999999999999997,0.8565288289665922
rolling_48m,2021-10-29,valid,0.54,0.45999999999999996,0.7028948039375704
rolling_48m,2021-11-30,valid,0.62,0.38,0.7495501826451524
rolling_48m,2021-12-31,valid,0.52,0.48,0.8150194756560202
rolling_48m,2022-01-28,valid,0.66,0.33999999999999997,0.8612383755093544
rolling_48m,2022-02-28,valid,0.68,0.31999999999999995,0.8313399661068437
rolling_48m,2022-03-31,valid,0.64,0.36,0.6975797009275582
rolling_48m,2022-04-29,valid,0.34,0.6599999999999999,0.4434109630962188
rolling_48m,2022-05-31,valid,0.64,0.36,0.7259488120571141
rolling_48m,2022-06-30,valid,0.66,0.33999999999999997,0.8464046997110499
rolling_48m,2022-07-29,valid,0.7,0.30000000000000004,0.8215733469152068
rolling_48m,2022-08-31,valid,0.42,0.5800000000000001,0.4920815970580396
rolling_48m,2022-09-30,valid,0.66,0.33999999999999997,0.8472902186321525
rolling_48m,2022-10-31,valid,0.44,0.56,0.663868405435867
rolling_48m,2022-11-30,valid,0.6,0.4,0.7493963769951086
