source_id,rebalance_date,period,n_columns,n_non_nan,nan_rate,universe_count,valid_universe_overlap_count,valid_universe_overlap_ratio,nonuniverse_valid_count,mean,std,skew,kurt,min,max,p01,p99
ic_ir,2017-12-29,train,1329,467,0.6486079759217457,500,467,0.934,0,0.0,1.0,-0.3236687297187191,-0.08828869211143342,-3.0774890081674733,2.443241251577787,-2.586710012205473,1.9860498928236212
ic_ir,2018-01-31,train,1329,461,0.653122648607976,500,461,0.922,0,1.541307452841866e-17,1.0,-0.18952969014309118,-0.17521907624778166,-2.9674750364463622,2.6787617806245145,-2.385610065935043,2.182106219914166
ic_ir,2018-02-28,train,1329,462,0.6523702031602708,500,462,0.924,0,0.0,1.0,-0.1864704229770063,-0.1597425696942394,-2.9679545091960735,2.5163936517045298,-2.4233255745080693,2.090341867600318
ic_ir,2018-03-30,train,1329,466,0.6493604213694507,500,466,0.932,0,3.0495396384553656e-17,1.0,-0.270485234014473,0.12451281472536602,-2.8975392117752516,2.5337025403488256,-2.6022112309515455,2.122225761225784
ic_ir,2018-04-27,train,1329,466,0.6493604213694507,500,466,0.932,0,0.0,1.0,-0.3225622235138806,0.07364787591958821,-2.8060567211754672,2.765859882991846,-2.8060567211754672,2.037873212018954
ic_ir,2018-05-31,train,1329,465,0.6501128668171557,500,465,0.93,0,1.5280488941077423e-17,1.0,-0.28704749066629803,0.2035282415514339,-2.8038283713799466,3.0041237717924076,-2.67409477202056,2.166220352460003
ic_ir,2018-06-29,train,1329,466,0.6493604213694507,500,466,0.932,0,2.2871547288415242e-17,1.0,-0.23119986143810906,0.1689402774856843,-2.933741726888829,2.8700293304809312,-2.6412555057600238,2.231517385954113
ic_ir,2018-07-31,train,1329,473,0.6440933032355154,500,473,0.946,0,-1.502204515349049e-17,1.0,-0.23296435241247923,0.12356527192025801,-2.8136434857768746,2.9985645399323824,-2.6189382074395016,2.1738189165239112
ic_ir,2018-08-31,train,1329,481,0.6380737396538751,500,481,0.962,0,6.278184255676561e-17,0.9999999999999999,-0.46004127593288685,0.20403952429969507,-2.6147276121703458,2.4111787152570927,-2.6147276121703458,2.204949332617344
ic_ir,2018-09-28,train,1329,484,0.63581640331076,500,484,0.968,0,2.9361270072731413e-17,0.9999999999999999,-0.4889873657854483,0.3312743395783908,-2.753632267689414,2.919484227166615,-2.753632267689414,2.046820217180835
ic_ir,2018-10-31,train,1329,488,0.6328066215199398,500,488,0.976,0,2.912060392459427e-17,1.0,-0.541884906911663,0.2657354501955025,-2.829390595973709,2.547591281255829,-2.829390595973709,1.8842856597746578
ic_ir,2018-11-30,train,1329,499,0.6245297215951844,500,499,0.998,0,2.1359000072948903e-17,1.0,-0.5559689733369789,0.16947184404696225,-2.7270196144492793,2.8040546670427786,-2.7270196144492793,1.7154627853706323
ic_ir,2018-12-28,train,1329,496,0.6267870579382995,500,496,0.992,0,-2.1488187573390126e-17,1.0,-0.5270295727422946,0.23328531039363254,-2.7840013192360127,2.9683137963873323,-2.72874155875302,1.8326120790530438
ic_ir,2019-01-31,train,1329,499,0.6245297215951844,500,499,0.998,0,2.1359000072948903e-17,1.0,-0.47367855862423947,0.15939298082704711,-2.6554004346196267,2.7920467829042313,-2.6554004346196267,1.8956350493935044
ic_ir,2019-02-28,train,1329,498,0.6252821670428894,500,498,0.996,0,0.0,1.0,-0.5107714542482865,0.14629630292622142,-2.789583670892986,2.745174124647476,-2.789583670892986,1.8720580491301229
ic_ir,2019-03-29,train,1329,497,0.6260346124905944,500,497,0.994,0,-1.429663452233602e-17,0.9999999999999999,-0.38673476462680406,0.07010865735292526,-2.79987553954739,3.021501070449628,-2.79987553954739,1.9385283229507635
